"﻿","Project Name","Description","Date","Tags"
"🎼","Adoption|https://musescore.com/user/31301183/scores/29396135","Adoption from Matilda (1996) arranged for solo piano.","2025-11-15","music,arrangement"
"🎶","Renaissance Music for GAME BOY|https://eldritchrenaissancecake.bandcamp.com/album/renaissance-music-for-game-boy","Renaissance music... for Game Boy! An album of 12 tracks, arranged for GameBoy, performed via the chiptune tracker Furnace.","2025-05-31","music,arrangement"
"🎶🎨","Banana Monkeys!|https://eldritchrenaissancecake.itch.io/monkey-bananas","Street Fighter but monkeys with bananas!","2025-02-23","gamedev,music,art,jam,godot"
"🎮","The Abandoned House Down the Lane|https://eldritchrenaissancecake.itch.io/the-abandoned-house-down-the-lane","You explore the spooky abandoned house down the lane.","2024-10-31","gamedev,jam,adventuron"
"🎮🎨","Music of the Night|https://eldritchrenaissancecake.itch.io/music-of-the-night","An organist visits an old church, where the music has unexpected results. Bitsy solo for 2024-09 Extra Life WGC Jam.","2024-09-29","gamedev,art,jam,bitsy"
"🎼","Telefang Transcription Project|https://github.com/chaydata/telefang-transcription-project","Transcriptions of tracks from Keitai Denjū Telefang — Power and Speed, as PDF, MIDI, and other formats.","2024-09-03","music,transcription"
"🎨","Gargoyle Gate|https://eldritchrenaissancecake.itch.io/gargoyle-gate","Textmode art for the Nokia Art Jam 2 (""lost games for the Nokia 3410""). Something like the classic ""Shadowgate"".","2024-04-04","art,jam"
"🎨","Mushroooooms|https://eldritchrenaissancecake.itch.io/mushroooooms","Textmode art for Nokia Art Jam 2 (""lost games for the Nokia 3410""). Find 5 mushrooms. Like minesweeper, but peaceful =)","2024-04-04","art,jam"
"🎶","Bee Beat Remix|https://plutoniumpowered.itch.io/bee-beat-remix","DDR, but in bee form","2024-02-25","music,sfx,jam"
"🎶","Do They Know|https://thebonsaitreehouse.itch.io/do-they-know","The DAY 3 entry for Haunted PS1's ""Madvent Calendar 3: Necrosis""!","2022-12-08","music,sfx,jam"
"🎶","Swole|https://aarre.itch.io/swole","There is a pill for everything.","2022-12-02","music,jam"
"🎮","The Prairie House|https://eldritchrenaissancecake.itch.io/the-prairie-house","A student finishes their prairie field work but has to spend the night alone at an old house.","2022-03-31","gamedev,jam,adventuron"
